"created_at","updated_at",id,"name","slug","starts_at","ends_at","description",is_featured,is_all_day,old_id
"2014-12-11 23:50:20","2014-12-11 23:50:20",35,"2nd Sunday after Epiphany","2nd-sunday-after-epiphany","2012-01-15 10:00:00","2012-01-15 11:00:00","<p>10:00 am Communion Service</p>
<p>10:10 am 6th Grade Confirmation</p>
<p>10:10 am Sunday Alive</p>",0,0,35
"2014-12-11 23:50:20","2014-12-11 23:50:20",36,"Adult Discussion","adult-discussion","2012-01-15 18:30:00","2012-01-15 19:30:00","",0,0,36
"2014-12-11 23:50:20","2014-12-11 23:50:20",37,"Men’s Food and Fellowship","mens-food-and-fellowship","2012-01-16 18:30:00","2012-01-16 19:30:00","",0,0,37
"2014-12-11 23:50:21","2014-12-11 23:50:21",38,"Boy Scouts","boy-scouts","2012-01-16 19:00:00","2012-01-16 20:00:00","",0,0,38
"2014-12-11 23:50:21","2014-12-11 23:50:21",39,"New Member Class","new-member-class","2012-01-17 19:00:00","2012-01-17 20:00:00","",0,0,39
"2014-12-11 23:50:22","2014-12-11 23:50:22",40,"Ecumenical Service at St. Andrews - Waterford","ecumenical-service-at-st-andrews-waterford","2012-01-18 23:00:00","2012-01-18 12:00:00","",0,0,40
"2014-12-11 23:50:22","2014-12-11 23:50:22",41,"AA Meeting","aa-meeting","2012-01-18 20:00:00","2012-01-18 21:00:00","",0,0,41
"2014-12-11 23:50:22","2014-12-11 23:50:22",42,"Bell Choir","bell-choir","2012-01-19 18:45:00","2012-01-19 19:30:00","",0,0,42
"2014-12-11 23:50:23","2014-12-11 23:50:23",43,"Chancel Chior","chancel-chior","2012-01-19 19:30:00","2012-01-19 20:15:00","",0,0,43
"2014-12-11 23:50:23","2014-12-11 23:50:23",44,"TOPS","tops","2012-01-19 18:30:00","2012-01-19 19:30:00","",0,0,44
"2014-12-11 23:50:24","2014-12-11 23:50:24",45,"AA Meeting","aa-meeting","2012-01-21 20:00:00","2012-01-21 21:00:00","",0,0,45
"2014-12-11 23:50:24","2014-12-11 23:50:24",46,"3rd Sunday after Epiphany","3rd-sunday-after-epiphany","2012-01-22 10:00:00","2012-01-22 11:00:00","<p>10:00 am Communion Service</p>
<p>10:10 am Sunday Alive</p>
<p>Semi-Annual Meeting and Luncheon - after Worship</p>",0,0,46
"2014-12-11 23:50:25","2014-12-11 23:50:25",47,"Boy Scouts","boy-scouts","2012-01-23 19:00:00","2012-01-23 20:00:00","",0,0,47
"2014-12-11 23:50:25","2014-12-11 23:50:25",48,"Work Day","work-day","2012-01-24 09:00:00","2012-01-24 10:00:00","",0,0,48
"2014-12-11 23:50:25","2014-12-11 23:50:25",49,"New Member Class","new-member-class","2012-01-24 19:00:00","2012-01-24 20:00:00","",0,0,49
"2014-12-11 23:50:26","2014-12-11 23:50:26",50,"AA Meeting","aa-meeting","2012-01-25 20:00:00","2012-01-25 21:00:00","",0,0,50
"2014-12-11 23:50:26","2014-12-11 23:50:26",51,"Bell Choir","bell-choir","2012-01-26 18:45:00","2012-01-26 19:30:00","",0,0,51
"2014-12-11 23:50:27","2014-12-11 23:50:27",52,"Chancel Chior","chancel-chior","2012-01-26 19:30:00","2012-01-26 20:15:00","",0,0,52
"2014-12-11 23:50:27","2014-12-11 23:50:27",53,"SCSA","scsa","2012-01-28 13:00:00","2012-01-28 15:00:00","",0,0,53
"2014-12-11 23:50:27","2014-12-11 23:50:27",54,"AA Meeting","aa-meeting","2012-01-28 20:00:00","2012-01-28 21:00:00","",0,0,54
"2014-12-11 23:50:28","2014-12-11 23:50:28",55,"4th Sunday after Epiphany","4th-sunday-after-epiphany","2012-01-29 10:00:00","2012-01-29 11:00:00","<p>10:00 am Worship Service - New Member Reception</p>",0,0,55
"2014-12-11 23:50:28","2014-12-11 23:50:28",56,"New Member Supper","new-member-supper","2012-01-30 18:30:00","2012-01-30 19:30:00","",0,0,56
"2014-12-11 23:50:28","2014-12-11 23:50:28",57,"Boy Scouts","boy-scouts","2012-01-30 19:00:00","2012-01-30 20:00:00","",0,0,57
"2014-12-11 23:50:29","2014-12-11 23:50:29",58,"Rock Club","rock-club","2012-02-01 18:30:00","2012-02-01 19:30:00","",0,0,58
"2014-12-11 23:50:29","2014-12-11 23:50:29",59,"AA Meeting","aa-meeting","2012-02-01 20:00:00","2012-02-01 21:00:00","",0,0,59
"2014-12-11 23:50:30","2014-12-11 23:50:30",60,"WELCA","welca","2012-02-02 10:00:00","2012-02-02 11:00:00","",0,0,60
"2014-12-11 23:50:30","2014-12-11 23:50:30",61,"TOPS","tops","2012-02-02 18:30:00","2012-02-02 19:30:00","",0,0,61
"2014-12-11 23:50:30","2014-12-11 23:50:30",62,"Bell Choir","bell-choir","2012-02-02 18:45:00","2012-02-02 19:45:00","",0,0,62
"2014-12-11 23:50:31","2014-12-11 23:50:31",63,"Chancel Choir","chancel-choir","2012-02-02 19:30:00","2012-02-02 20:30:00","",0,0,63
"2014-12-11 23:50:31","2014-12-11 23:50:31",64,"AA Meeting","aa-meeting","2012-02-04 20:00:00","2012-02-04 21:00:00","",0,0,64
"2014-12-11 23:50:32","2014-12-11 23:50:32",65,"Communion Service","communion-service","2012-02-05 10:00:00","2012-02-05 11:00:00","",0,0,65
"2014-12-11 23:50:32","2014-12-11 23:50:32",66,"Sunday Alive!","sunday-alive","2012-02-05 10:10:00","2012-02-05 11:10:00","",0,0,66
"2014-12-11 23:50:32","2014-12-11 23:50:32",67,"6th Grade Confirmation","6th-grade-confirmation","2012-02-05 10:10:00","2012-02-05 11:10:00","",0,0,67
"2014-12-11 23:50:33","2014-12-11 23:50:33",68,"Worship & Music","worship-music","2012-02-05 11:30:00","2012-02-05 00:30:00","",0,0,68
"2014-12-11 23:50:33","2014-12-11 23:50:33",69,"Boy Scouts","boy-scouts","2012-02-06 19:00:00","2012-02-06 20:00:00","",0,0,69
"2014-12-11 23:50:34","2014-12-11 23:50:34",70,"Waterford Ministerial Association","waterford-ministerial-association","2012-02-08 13:00:00","2012-02-08 14:00:00","",0,0,70
"2014-12-11 23:50:34","2014-12-11 23:50:34",71,"AA Meeting","aa-meeting","2012-02-08 20:00:00","2012-02-08 21:00:00","",0,0,71
"2014-12-11 23:50:34","2014-12-11 23:50:34",72,"Bell Choir","bell-choir","2012-02-09 18:45:00","2012-02-09 19:45:00","",0,0,72
"2014-12-11 23:50:35","2014-12-11 23:50:35",73,"Chancel Choir","chancel-choir","2012-02-09 19:30:00","2012-02-09 20:30:00","",0,0,73
"2014-12-11 23:50:35","2014-12-11 23:50:35",74,"TOPS","tops","2012-02-09 18:30:00","2012-02-09 19:30:00","",0,0,74
"2014-12-11 23:50:35","2014-12-11 23:50:35",75,"Walk for Warmth","walk-for-warmth","2012-02-11 08:00:00","2012-02-11 09:00:00","<p>The location for this year?s Walk for Warmth has been changed to Great Lakes. This event,&nbsp;sponsored by the Oakland Livingston Human Service Agency raises funds for emergency utility&nbsp;assistance for those in need. In the past we have had a team of &ldquo;Holy Strollers&rdquo; participating.&nbsp;You may sign-up Sundays at worship or call the church office. If you cannot walk in the event&nbsp;please support someone who is.</p>",1,0,75
"2014-12-11 23:50:36","2014-12-11 23:50:36",76,"SCSA","scsa","2012-02-11 13:00:00","2012-02-11 15:00:00","",0,0,76
"2014-12-11 23:50:36","2014-12-11 23:50:36",77,"Chili Cook-Off","chili-cook-off","2012-02-11 18:00:00","2012-02-11 19:00:00","",1,0,77
"2014-12-11 23:50:37","2014-12-11 23:50:37",78,"AA Meeting","aa-meeting","2012-02-11 20:00:00","2012-02-11 21:00:00","",0,0,78
"2014-12-11 23:50:37","2014-12-11 23:50:37",79,"Communion Worship","communion-worship","2012-02-12 10:00:00","2012-02-12 11:00:00","",0,0,79
"2014-12-11 23:50:37","2014-12-11 23:50:37",80,"Church Council","church-council","2012-02-13 19:00:00","2012-02-13 20:00:00","",0,0,80
"2014-12-11 23:50:38","2014-12-11 23:50:38",81,"Boy Scouts","boy-scouts","2012-02-13 19:00:00","2012-02-13 20:00:00","",0,0,81
"2014-12-11 23:50:38","2014-12-11 23:50:38",82,"Work Day","work-day","2012-02-14 09:00:00","2012-02-14 10:00:00","",0,0,82
"2014-12-11 23:50:39","2014-12-11 23:50:39",83,"Yard Sale Meeting","yard-sale-meeting","2012-02-15 19:00:00","2012-02-15 20:00:00","",0,0,83
"2014-12-11 23:50:39","2014-12-11 23:50:39",84,"AA Meeting","aa-meeting","2012-02-15 20:00:00","2012-02-15 21:00:00","",0,0,84
"2014-12-11 23:50:39","2014-12-11 23:50:39",85,"Bell Choir","bell-choir","2012-02-16 18:45:00","2012-02-16 19:45:00","",0,0,85
"2014-12-11 23:50:40","2014-12-11 23:50:40",86,"Chancel Choir","chancel-choir","2012-02-16 19:30:00","2012-02-16 20:30:00","",0,0,86
"2014-12-11 23:50:40","2014-12-11 23:50:40",87,"TOPS","tops","2012-02-16 18:30:00","2012-02-16 19:30:00","",0,0,87
"2014-12-11 23:50:40","2014-12-11 23:50:40",88,"Movie Night","movie-night","2012-02-17 19:00:00","2012-02-17 20:00:00","",0,0,88
"2014-12-11 23:50:41","2014-12-11 23:50:41",89,"AA Meeting","aa-meeting","2012-02-18 20:00:00","2012-02-18 21:00:00","",0,0,89
"2014-12-11 23:50:41","2014-12-11 23:50:41",90,"Communion Worship","communion-worship","2012-02-19 10:00:00","2012-02-19 11:00:00","",0,0,90
"2014-12-11 23:50:42","2014-12-11 23:50:42",91,"Sunday Alive!","sunday-alive","2012-02-19 10:10:00","2012-02-19 11:10:00","",0,0,91
"2014-12-11 23:50:42","2014-12-11 23:50:42",92,"6th Grade Confirmation","6th-grade-confirmation","2012-02-19 10:10:00","2012-02-19 11:10:00","",0,0,92
"2014-12-11 23:50:42","2014-12-11 23:50:42",93,"Adult Discussion \\\"End of Life\\\"","adult-discussion-end-of-life","2012-02-19 18:30:00","2012-02-19 19:30:00","",0,0,93
"2014-12-11 23:50:43","2014-12-11 23:50:43",94,"Boy Scouts","boy-scouts","2012-02-20 19:00:00","2012-02-20 20:00:00","",0,0,94
"2014-12-11 23:50:44","2014-12-11 23:50:44",95,"Community & Global","community-global","2012-02-21 11:30:00","2012-02-21 12:30:00","",0,0,95
"2014-12-11 23:50:44","2014-12-11 23:50:44",96,"7th & 8th Confirmation","7th-8th-confirmation","2012-02-21 19:00:00","2012-02-21 20:00:00","",0,0,96
"2014-12-11 23:50:44","2014-12-11 23:50:44",97,"Ash Wednesday Service","ash-wednesday-service","2012-02-22 19:00:00","2012-02-22 20:00:00","<p>Lent is a special time of the church year that calls us to focus on the&nbsp;quality of the life of our faith. It asks us to not just to &bdquo;give something&nbsp;up? but add something to our life that will help us spiritually grow. Our&nbsp;Ash Wednesday service will include the imposition of ashes as a sign of our willingness to turn&nbsp;away from things that draw us from God, and toward those things that will draw us closer to&nbsp;God. Holy Communion will also be celebrated. See inside this newsletter for more&nbsp;opportunities to grow this Lenten Season.</p>",1,0,97
"2014-12-11 23:50:45","2014-12-11 23:50:45",98,"AA Meeting","aa-meeting","2012-02-22 20:00:00","2012-02-22 21:00:00","",0,0,98
"2014-12-11 23:50:45","2014-12-11 23:50:45",99,"Bell Choir","bell-choir","2012-02-23 18:45:00","2012-02-23 19:45:00","",0,0,99
"2014-12-11 23:50:45","2014-12-11 23:50:45",100,"Chancel Choir","chancel-choir","2012-02-23 19:30:00","2012-02-23 20:30:00","",0,0,100
"2014-12-11 23:50:46","2014-12-11 23:50:46",101,"TOPS","tops","2012-02-23 18:30:00","2012-02-23 19:30:00","",0,0,101
"2014-12-11 23:50:46","2014-12-11 23:50:46",102,"SCSA","scsa","2012-02-25 13:00:00","2012-02-25 15:00:00","",0,0,102
"2014-12-11 23:50:47","2014-12-11 23:50:47",103,"AA Meeting","aa-meeting","2012-02-25 20:00:00","2012-02-25 21:00:00","",0,0,103
"2014-12-11 23:50:47","2014-12-11 23:50:47",104,"Worship Service","worship-service","2012-02-26 10:00:00","2012-02-26 11:00:00","",0,0,104
"2014-12-11 23:50:47","2014-12-11 23:50:47",105,"Sunday Alive!","sunday-alive","2012-02-26 10:10:00","2012-02-26 11:10:00","",0,0,105
"2014-12-11 23:50:48","2014-12-11 23:50:48",106,"Outside Group","outside-group","2012-02-26 13:00:00","2012-02-26 14:00:00","",0,0,106
"2014-12-11 23:50:49","2014-12-11 23:50:49",107,"Bowling","bowling","2012-02-26 18:30:00","2012-02-26 19:30:00","",0,0,107
"2014-12-11 23:50:49","2014-12-11 23:50:49",108,"Work Day","work-day","2012-02-28 09:00:00","2012-02-28 10:00:00","",0,0,108
"2014-12-11 23:50:49","2014-12-11 23:50:49",109,"Lenten Devotional & Luncheon","lenten-devotional-luncheon","2012-02-29 12:00:00","2012-02-29 13:00:00","",0,0,109
"2014-12-11 23:50:50","2014-12-11 23:50:50",110,"Supper","supper","2012-02-29 18:00:00","2012-02-29 19:00:00","",0,0,110
"2014-12-11 23:50:50","2014-12-11 23:50:50",111,"Lenten Study","lenten-study","2012-02-29 19:00:00","2012-02-29 20:00:00","",0,0,111
"2014-12-11 23:50:50","2014-12-11 23:50:50",112,"AA Meeting","aa-meeting","2012-02-29 20:00:00","2012-02-29 21:00:00","",0,0,112
"2014-12-11 23:50:51","2014-12-11 23:50:51",113,"5th Sunday after Epiphany","5th-sunday-after-epiphany","2012-02-05 10:00:00","2012-02-05 11:00:00","",0,0,113
"2014-12-11 23:50:52","2014-12-11 23:50:52",114,"6th Sunday after Epiphany","6th-sunday-after-epiphany","2012-02-12 10:00:00","2012-02-12 11:00:00","",0,0,114
"2014-12-11 23:50:52","2014-12-11 23:50:52",115,"Noisy Offering","noisy-offering","2012-02-12 10:00:00","2012-02-12 11:00:00","",0,0,115
"2014-12-11 23:50:53","2014-12-11 23:50:53",116,"Transfiguration Sunday","transfiguration-sunday","2012-02-19 10:00:00","2012-02-19 11:00:00","",0,0,116
"2014-12-11 23:50:53","2014-12-11 23:50:53",117,"First Sunday in Lent","first-sunday-in-lent","2012-02-26 10:00:00","2012-02-26 11:00:00","",0,0,117
"2014-12-11 23:50:53","2014-12-11 23:50:53",118,"WELCA","welca","2012-03-01 10:00:00","2012-03-01 11:00:00","",0,0,118
"2014-12-11 23:50:54","2014-12-11 23:50:54",119,"Bell Ringers","bell-ringers","2012-03-01 18:45:00","2012-03-01 19:45:00","",0,0,119
"2014-12-11 23:50:54","2014-12-11 23:50:54",120,"Chancel Choir","chancel-choir","2012-03-01 19:30:00","2012-03-01 20:30:00","",0,0,120
"2014-12-11 23:50:54","2014-12-11 23:50:54",121,"TOPS","tops","2012-03-01 18:30:00","2012-03-01 19:30:00","",0,0,121
"2014-12-11 23:50:55","2014-12-11 23:50:55",122,"AA Meeting","aa-meeting","2012-03-03 20:00:00","2012-03-03 21:00:00","",0,0,122
